






                                    ZeBu (R)
                                      zPar

            Version S-2021.09-T-20240508 for linux64 - May 08, 2024 

                    Copyright (c) 2002 - 2024 Synopsys, Inc.
   This software and the associated documentation are proprietary to Synopsys,
 Inc. This software may only be used in accordance with the terms and conditions
 of a written license agreement with Synopsys, Inc. All other use, reproduction,
   or distribution of this software is strictly prohibited.  Licensed Products
     communicate with Synopsys servers for the purpose of providing software
    updates, detecting software piracy and verifying that customers are using
    Licensed Products in conformity with the applicable License Key for such
  Licensed Products. Synopsys will use information gathered in connection with
    this process to deliver software updates and pursue software pirates and
                                   infringers.

 Inclusivity & Diversity - Visit SolvNetPlus to read the "Synopsys Statement on
            Inclusivity and Diversity" (Refer to article 000036315 at
                        https://solvnetplus.synopsys.com)

# zPar zPar_zCui.tcl 

# start time is Tue May 13 18:37:31 2025




# Build Date : May  7 2024 - 21:36:47
# ---------------------------System Context--------------------------- 
# Cpu        32 x bogomips - 4499.99 AMD EPYC 9754 128-Core Processor
#            Load: 6.36 6.15 7.01 6/811 4058667
#            Hostname: zebutrain-4761-004   OS: Linux 4.18.0-425.3.1.el8.x86_64
# Memory     Total: 261706 MB Free: 201142 MB
#            Swap space: 53247 MB Free Swap space: 51534 MB
#            VmSize: 294 MB VmPeak: 294 MB
# Disk Space Total: 5000 GB Available: 554 GB Used: 4446 GB
#            Free inodes: 11763120
# Stack                                Soft Limit           Hard Limit  
#            Max stack size            unlimited            unlimited            bytes     
# -------------------------------------------------------------------- 





Table of content:
-----------------


 1.Detailed_execution time and Memory Footprint
 2.KTIM_WARNING_SECTION
 3.KTIM_ECHO_SECTION
 4.KPR_WARNING_SECTION
 5.KPR_ECHO_SECTION
 6.KPR_FALSEPATH_SECTION
 7.KPR_LOGCOMMAND_SECTION
 8.ZAP_WARNING_SECTION


======================================================================================================





 1.Detailed_execution time and Memory Footprint
 ==============================================


  Cpu performance: 98.19%

  Cpu performance displays the performance of the CPU on which zTopBuild is started compared to a reference machin.
  A positive number will indicate a CPU faster than our reference one.

  
# ---------------------------System Context--------------------------- 
# Cpu        32 x bogomips - 4499.99 AMD EPYC 9754 128-Core Processor
#            Load: 6.36 6.15 7.01 6/811 4058667
#            Hostname: zebutrain-4761-004   OS: Linux 4.18.0-425.3.1.el8.x86_64
# Memory     Total: 261706 MB Free: 201434 MB
#            Swap space: 53247 MB Free Swap space: 51534 MB
#            VmSize: 382 MB VmPeak: 382 MB
# Disk Space Total: 5000 GB Available: 554 GB Used: 4446 GB
#            Free inodes: 11763117
# Stack                                Soft Limit           Hard Limit  
#            Max stack size            unlimited            unlimited            bytes     
# -------------------------------------------------------------------- 


  In the section below, 
    load : 1 minute load average
    fm   : FreeMemory
    vm   : VirtualMemory
    um   : UsedMemory


Reset time counter
   3    elapsed:0.13 s    user:0.9 s      system:0 s      %cpu:72.18       load:6.36       fm:201451 m      vm:634 m      vm:+41 m      um:207 m      um:+28 m zPar/Merge/loadDB
  93       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./topologicalSortDataCone.
  93       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt.
  94       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./5_timing_evaluator_base_analysis
  94     elapsed:0.1 s    user:0.3 s      system:0 s     %cpu:417.39       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep.
  95     elapsed:0.1 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/QCheckStep.
  96       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/SaveResultStep.
  97     elapsed:0.1 s    user:0.1 s      system:0 s     %cpu:103.23       load:6.36       fm:201012 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/6_timing_evaluator_base_analysis
 101       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201012 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/expandClockAndRouteIntoTimingGraph/buildTimingGraphClocks
 102       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/expandClockAndRouteIntoTimingGraph/buildTimingGraphRouted
 103       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/expandClockAndRouteIntoTimingGraph/collectNodeNameToTNodeHash
 104       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/expandClockAndRouteIntoTimingGraph/addGraphBuilderToTimingGraph_clk
 105       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+1 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/expandClockAndRouteIntoTimingGraph/addGraphBuilderToTimingGraph_route
 106       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/expandClockAndRouteIntoTimingGraph/deleteOriginalClockArc
 107       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/expandClockAndRouteIntoTimingGraph/deleteOriginalRouteArc
 108       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/expandClockAndRouteIntoTimingGraph/updateNodeArcId
 108       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+1 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/expandClockAndRouteIntoTimingGraph
 109       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/updateClockInfoAfterExpand
 110       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/updateTriggerTypeAfterExapand
 111       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/annotateAfterExpand
 112       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/applyDelayEstimateAfterExpand
 115       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/analysisAfterExpand/initializeAnalysisAfterRoute./guaranteeArcOrderForNode.
 116       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/analysisAfterExpand/initializeAnalysisAfterRoute./_buildPrimarySet.
 117       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/analysisAfterExpand/initializeAnalysisAfterRoute./_searchAndTagLoop.
 118       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/analysisAfterExpand/initializeAnalysisAfterRoute./_sortTopological.
 119       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/analysisAfterExpand/initializeAnalysisAfterRoute./handleFalsePath.
 120       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/analysisAfterExpand/initializeAnalysisAfterRoute./_reverseSortTopological.
 121       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/analysisAfterExpand/initializeAnalysisAfterRoute./topologicalSortClockCone.
 122       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/analysisAfterExpand/initializeAnalysisAfterRoute./topologicalSortDataCone.
 122       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201011 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/analysisAfterExpand/initializeAnalysisAfterRoute.
 122     elapsed:0.2 s    user:0.1 s      system:0 s      %cpu:69.57       load:6.36       fm:201007 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/analysisAfterExpand
 123       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201007 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph/initCaches_expand
 123     elapsed:0.2 s    user:0.1 s      system:0 s      %cpu:59.26       load:6.36       fm:201007 m     vm:1246 m       vm:+0 m      um:478 m       um:+1 m zPar/Route/AnalyticalPinAssignmentStep./expandZTimeGraph
 123     elapsed:0.4 s    user:0.2 s    system:0.1 s      %cpu:78.69       load:6.36       fm:201003 m     vm:1246 m       vm:+0 m      um:478 m       um:+1 m zPar/Route/AnalyticalPinAssignmentStep.
 123       elapsed:1 s   user:0.82 s    system:0.8 s      %cpu:88.29       load:6.36       fm:201001 m     vm:1246 m     vm:+293 m      um:478 m     um:+178 m zPar/Route
 125     elapsed:0.2 s    user:0.1 s      system:0 s      %cpu:41.56       load:6.36       fm:200995 m     vm:1246 m       vm:+0 m      um:478 m       um:+0 m zPar/Generate/Dump_DBs
 126       elapsed:5 s      user:4 s   system:0.71 s      %cpu:99.87       load:6.49       fm:198254 m     vm:3352 m    vm:+2106 m     um:2580 m    um:+2102 m zPar/Generate/Create_FPGA_Wrappers
 127     elapsed:0.1 s    user:0.1 s      system:0 s      %cpu:86.49       load:6.49       fm:198249 m     vm:3354 m       vm:+2 m     um:2583 m       um:+3 m zPar/Generate/Socket_Generation
 128     elapsed:0.1 s    user:0.1 s      system:0 s     %cpu:152.38       load:6.53       fm:198221 m     vm:3358 m       vm:+0 m     um:2586 m       um:+0 m zPar/Generate/Display
 129    elapsed:0.35 s   user:0.14 s    system:0.1 s      %cpu:43.09       load:6.53       fm:198050 m     vm:3360 m       vm:+2 m     um:2589 m       um:+3 m zPar/Generate/Write_Fpga_Data_To_Disk
 130     elapsed:0.1 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197967 m     vm:3360 m       vm:+0 m     um:2589 m       um:+0 m zPar/Generate/Create_zCui_Archive
 130       elapsed:5 s      user:4 s   system:0.73 s      %cpu:94.46       load:6.53       fm:197926 m     vm:3360 m    vm:+2114 m     um:2589 m    um:+2111 m zPar/Generate
 133     elapsed:0.2 s    user:0.3 s      system:0 s     %cpu:128.00       load:6.53       fm:197757 m     vm:3368 m       vm:+8 m     um:2597 m       um:+8 m zPar/Timing/elaborateDesign/elaborateDesign_U0_M0_F00
 134     elapsed:0.2 s    user:0.2 s      system:0 s      %cpu:87.67       load:6.53       fm:197729 m     vm:3379 m      vm:+11 m     um:2608 m      um:+11 m zPar/Timing/elaborateDesign/elaborateDesign_U0_M0_F01
 134     elapsed:0.4 s    user:0.5 s      system:0 s     %cpu:107.38       load:6.53       fm:197729 m     vm:3379 m      vm:+19 m     um:2608 m      um:+19 m zPar/Timing/elaborateDesign
 136       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197724 m     vm:3379 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/timingGraphBuilder::dumpTclTimingFile/buildTimingGraphRouted
 136     elapsed:0.1 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197724 m     vm:3379 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/timingGraphBuilder::dumpTclTimingFile
 138       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197713 m     vm:3379 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/build_topPortToNodeId
 139       elapsed:0 s    user:0.1 s    system:0.1 s    %cpu:1280.00       load:6.53       fm:197711 m     vm:3380 m       vm:+1 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/getIntraFpgaTimingPathforZFpgaTiming
 141       elapsed:0 s      user:0 s    system:0.1 s    %cpu:3200.00       load:6.53       fm:197710 m     vm:3380 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/buildSdfRequestsFromTimingGraph/Populate_drivers
 143       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197710 m     vm:3380 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/buildSdfRequestsFromTimingGraph/Populate_readers/populate_cache
 144       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197710 m     vm:3380 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/buildSdfRequestsFromTimingGraph/Populate_readers/populate_names
 144       elapsed:0 s    user:0.1 s      system:0 s     %cpu:640.00       load:6.53       fm:197710 m     vm:3380 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/buildSdfRequestsFromTimingGraph/Populate_readers
 145       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197710 m     vm:3380 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/buildSdfRequestsFromTimingGraph/Build
 145     elapsed:0.1 s    user:0.1 s    system:0.1 s     %cpu:914.29       load:6.53       fm:197709 m     vm:3380 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/buildSdfRequestsFromTimingGraph
 146       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197709 m     vm:3380 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/buildRoutingHopSdfRequests
 148       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197709 m     vm:3380 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/buildSdfRequestsFromTimingGraph/Populate_drivers
 150       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197709 m     vm:3380 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/buildSdfRequestsFromTimingGraph/Populate_readers/populate_cache
 151       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197709 m     vm:3380 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/buildSdfRequestsFromTimingGraph/Populate_readers/populate_names
 151       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197709 m     vm:3380 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/buildSdfRequestsFromTimingGraph/Populate_readers
 152       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197709 m     vm:3380 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/buildSdfRequestsFromTimingGraph/Build
 152       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197709 m     vm:3380 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/buildSdfRequestsFromTimingGraph
 153       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197709 m     vm:3380 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/buildFilterSdfRequests
 154       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197709 m     vm:3380 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/addGlobalSdfCommands
 156       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197709 m     vm:3380 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/dumpSdfRequestBuilder/Concatenate_requests
 156       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197705 m     vm:3381 m       vm:+1 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/dumpSdfRequestBuilder
 157     elapsed:0.1 s    user:0.1 s      system:0 s     %cpu:290.91       load:6.53       fm:197702 m     vm:3381 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/dumpStartEndSocketPointsForZfpgaTiming
 159       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197702 m     vm:3381 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/handleAttributes/instance_create_attribute
 160       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197702 m     vm:3381 m       vm:+0 m     um:2608 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/handleAttributes/collect_legal_mezz_idx
 161    elapsed:0.26 s   user:0.48 s    system:0.2 s     %cpu:190.93       load:6.53       fm:197503 m     vm:3386 m       vm:+5 m     um:2614 m       um:+6 m zPar/Timing/dumpZfpgaTimingRequest/handleAttributes/dumpNetlist
 161    elapsed:0.26 s   user:0.48 s    system:0.2 s     %cpu:190.70       load:6.53       fm:197503 m     vm:3386 m       vm:+5 m     um:2614 m       um:+6 m zPar/Timing/dumpZfpgaTimingRequest/handleAttributes
 163     elapsed:0.1 s    user:0.6 s      system:0 s     %cpu:533.33       load:6.53       fm:197489 m     vm:3386 m       vm:+0 m     um:2614 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/dumpSoftTimingConstraint/ktim_analysis::distributeSlackForVivadoConstraints
 163     elapsed:0.3 s    user:0.6 s      system:0 s     %cpu:181.13       load:6.53       fm:197482 m     vm:3386 m       vm:+0 m     um:2614 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/dumpSoftTimingConstraint
 164       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197482 m     vm:3386 m       vm:+0 m     um:2614 m       um:+0 m zPar/Timing/dumpZfpgaTimingRequest/dumpNodeIdAndNameOfIF
 164    elapsed:0.32 s   user:0.57 s    system:0.4 s     %cpu:190.81       load:6.53       fm:197482 m     vm:3386 m       vm:+7 m     um:2614 m       um:+6 m zPar/Timing/dumpZfpgaTimingRequest
 165     elapsed:0.1 s      user:0 s      system:0 s       %cpu:0.00       load:6.53       fm:197477 m     vm:3386 m       vm:+0 m     um:2614 m       um:+0 m zPar/Timing/TDFDR_OPT::dumpFpgaRequests
 165    elapsed:0.38 s   user:0.63 s    system:0.4 s     %cpu:174.59       load:6.53       fm:197466 m     vm:3386 m      vm:+26 m     um:2614 m      um:+25 m zPar/Timing
 166     elapsed:0.1 s      user:0 s    system:0.1 s     %cpu:355.56       load:6.53       fm:197440 m     vm:3386 m       vm:+0 m     um:2614 m       um:+0 m zPar/FinishBody.
 166       elapsed:7 s      user:6 s   system:0.88 s      %cpu:94.10       load:6.53       fm:197440 m     vm:3386 m    vm:+2793 m     um:2614 m    um:+2435 m zPar


 2.KTIM_WARNING_SECTION
 ======================



                 *** EMPTY SECTION *** 




 3.KTIM_ECHO_SECTION
 ===================



                 *** EMPTY SECTION *** 




 4.KPR_WARNING_SECTION
 =====================

ROUTE [KPR0961W] : numTrocons = 0
ROUTE [KPR0961W] : numUsedFpga = 0


 5.KPR_ECHO_SECTION
 ==================



                 *** EMPTY SECTION *** 




 6.KPR_FALSEPATH_SECTION
 =======================



                 *** EMPTY SECTION *** 




 7.KPR_LOGCOMMAND_SECTION
 ========================



                 *** EMPTY SECTION *** 




 8.ZAP_WARNING_SECTION
 =====================



                 *** EMPTY SECTION *** 


